iter	Passed	Remaining
0	138	13749
1	141	6910
2	143	4639
3	145	3481
4	146	2783
5	148	2324
6	150	1995
7	152	1748
8	153	1555
9	156	1406
10	158	1282
11	160	1176
12	162	1085
13	163	1004
14	165	935
15	166	876
16	169	826
17	170	778
18	172	736
19	174	698
20	176	662
21	177	628
22	179	599
23	180	573
24	184	552
25	187	532
26	189	512
27	191	492
28	193	472
29	194	453
30	195	436
31	197	419
32	199	404
33	203	395
34	205	381
35	207	368
36	208	355
37	210	343
38	212	331
39	213	320
40	214	309
41	216	299
42	218	289
43	219	279
44	220	269
45	222	260
46	223	251
47	224	243
48	225	235
49	227	227
50	228	219
51	230	212
52	231	205
53	232	198
54	234	191
55	235	185
56	236	178
57	238	172
58	240	167
59	242	161
60	244	156
61	245	150
62	247	145
63	249	140
64	251	135
65	254	130
66	256	126
67	257	121
68	261	117
69	263	112
70	265	108
71	266	103
72	268	99
73	269	94
74	271	90
75	272	86
76	276	82
77	280	79
78	281	74
79	284	71
80	285	67
81	287	63
82	289	59
83	291	55
84	293	51
85	295	48
86	296	44
87	299	40
88	301	37
89	303	33
90	304	30
91	306	26
92	308	23
93	310	19
94	311	16
95	312	13
96	315	9
97	316	6
98	318	3
99	320	0
